題號,難度,題目,選項1,選項2,選項3,選項4,正確答案,正確答案解說,錯誤答案解說
L13Q1,S,某公司希望設計一套系統，自動識別文章中的人物、地點與組織，並將這些詞彙分類與標註在資料庫中。這項工作應歸屬於哪個 NLP 任務類型？,語法分析（Syntax Parsing）,命名實體辨識（Named Entity Recognition  NER）,詞義消歧（Word Sense Disambiguation）,共指解析（Coreference Resolution）,2,題目描述的是「辨識並標註實體」，明確對應到命名實體辨識（NER），屬於語言分析層次的子任務。,
L13Q2,S,若將 Word2Vec 向量進行以下運算： 「國王（king）」 - 「男人（man）」 + 「女人（woman）」 = ？ 這個例子主要說明 Word2Vec 的哪項特性？,向量是稀疏且不可計算的,僅能處理語法特徵而非語意,向量能捕捉詞與詞之間的語意關係,向量表示是根據上下文動態生成,3,Word2Vec 能學習語意空間中的關係，因此可以透過向量運算捕捉語意結構，如「king - man + woman = queen」。,
L13Q3,S,你正在設計一個實時處理龐大用戶查詢語句的客服機器人，需同時具備語意理解與生成能力，處理速度需快且可並行。你會選用哪種核心模型架構？,RNN,Transformer,HMM,CNN,2,Transformer 支援並行運算與長距上下文建模，最適合實時處理大量語句；RNN 雖能處理序列，但效能不佳。,
L13Q4,S,你希望快速製作一個情感分析的原型服務，並不考慮精度與擴充性，只希望少量程式碼就能完成。下列哪一種方法最快達成目標？,自行從頭訓練一個大型語言模型（LLM）,使用 Hugging Face 等平台上的預訓練模型（Pre-trained Model）,採用傳統的機器學習模型如 SVM,自己收集數百萬筆資料並標註,2,利用開源社群中的預訓練模型可以大幅加速原型製作與驗證的過程，不需要耗費時間在資料收集與訓練。,
L13Q5,S,在機器視覺任務中，下列哪一項技術的提出，使得模型能夠同時考慮圖像不同區域的重要性，有效解決了長距離依賴的問題，並且成為現代 SOTA 模型的基礎？,卷積神經網絡（CNN）,長短期記憶網絡（LSTM）,注意力機制（Attention Mechanism）,支援向量機（SVM）,3,注意力機制允許模型在處理序列或圖像時，動態地權衡不同部分的相關性，是 Transformer 和許多 SOTA 模型的核心。,
L13Q6,S,在設計一個用於電商網站的圖像檢索系統時，用戶上傳一張衣服的圖片，系統需要找出資料庫中所有相似的衣服。這個任務最適合應用哪種深度學習技術？,圖像分類（Image Classification）,語意分割（Semantic Segmentation）,度量學習（Metric Learning）/表徵學習（Representation Learning）,物件偵測（Object Detection）,3,度量學習的目標是學習一個嵌入空間（Embedding Space），使得相似的圖像在空間中距離近，不相似的圖像距離遠，非常適合圖像檢索。,
L13Q7,S,在 MLOps 流程中，「資料漂移（Data Drift）」的檢測和處理機制最應屬於哪個階段的核心任務？,模型訓練與版本控制（Model Training & Versioning）,模型部署與服務（Model Deployment & Serving）,持續監控與維護（Continuous Monitoring & Maintenance）,特徵工程與資料清理（Feature Engineering & Cleaning）,3,資料漂移是在模型上線後發生的，監控機制必須持續觀察模型輸入資料的統計分佈是否與訓練時發生變化，屬於維護階段的任務。,
L13Q8,S,企業在導入 AI 系統時，發現模型在測試集表現優秀，但在實際生產環境中效果極差。下列哪一項最可能是造成這種現象的「根本原因」？,訓練資料量不足,缺乏足夠的算力資源,訓練資料與真實生產資料的分佈不一致（Data Distribution Mismatch）,使用了過於簡單的模型,3,模型在測試集表現好，但在生產環境差，通常是訓練和實際的資料特性有差異，導致模型泛化能力不足。,
L13Q9,S,一家公司計劃利用生成式 AI 來自動產生行銷文案。在選擇 LLM 時，他們最應優先考量哪個要素以確保文案內容能精準符合品牌語氣與產品特性？,模型訓練的硬體成本,模型開源程度與社群活躍度,模型的 In-Context Learning（上下文學習）能力與 Prompt Engineering 潛力,模型的推論速度（Inference Latency）,3,In-Context Learning 允許透過 Prompt 傳入品牌指南與產品細節，讓模型在不需微調的情況下，即時生成符合要求的文案。這對行銷文案的靈活性和品牌一致性至關重要。,
L13Q10,S,某企業欲在內部部署一個大型語言模型（LLM）以提升程式碼撰寫效率。下列哪一項作法可以「有效降低部署成本與模型延遲」，同時保持模型在特定領域（如企業內部程式碼標準）的標準？,使用最大的開源模型並進行全量微調（Full Fine-tuning）,採用 LoRA 等參數效率微調（Parameter-Efficient Fine-Tuning  PEFT）技術進行微調,完全不微調，只使用 Few-Shot Learning,將模型所有層數進行量化（Quantization）,2,PEFT 技術如 LoRA 只調整少量參數，能用較少的資源達到與全量微調相近的效果，是目前兼顧成本與效果的最佳選擇。,
L13Q11,S,在 AI 專案導入初期，若資料科學家發現模型表現不如預期，根據 AI 專案開發流程的迭代特性，他最應該優先回頭檢視哪個部分？,模型部署的 CI/CD 流程,訓練資料集的品質與特徵工程,高層主管的預算分配,模型的版本控制機制,2,在 AI 專案中，「Garbage in /  garbage out」是基本原則，資料與特徵工程是決定模型上線效果的關鍵，因此應優先檢視。,
L13Q12,S,某公司利用 AI 模型預測產品銷售量，但發現模型總是以高於實際的數值進行預測。這類系統性偏差（Systematic Bias）問題，最可能反應了模型在哪些方面發生問題？,模型過度擬合（Overfitting）,訓練資料標註有系統性錯誤,模型推論速度過慢,模型無法有效處理時間序列資料,2,模型系統性地高估或低估，通常與訓練資料的標註（Ground Truth）有偏差或錯誤有關，而非僅是模型過度擬合或推論速度問題。,
L13Q13,S,在企業 AI 轉型初期，高層主管的關鍵角色與貢獻不包含下列哪一項？,建立 AI 策略並確保與業務目標一致,投入充足的運算資源與資料基礎建設,親自編寫 AI 模型與訓練腳本,跨部門溝通，移除資料孤島與協作障礙,3,高層主管應著重於策略、資源、治理和跨部門協作，AI 模型編寫屬於技術團隊的職責。,
L13Q14,S,一家製造業公司決定將現有的機器視覺模型從雲端（Cloud）部署遷移到產線的邊緣設備（Edge Device）。下列哪一項是他們最主要會面臨的挑戰與權衡？,更高的資料標註成本,需要重新開發新的演算法,需在模型精度與硬體算力限制間做出權衡,更長的模型訓練時間,3,邊緣設備的算力、記憶體和功耗都遠低於雲端，因此需要對模型進行量化、剪枝等優化（Model Compression），以犧牲少量精度換取在有限硬體上運行。,
L13Q15,S,企業導入 AI 專案，最適合採用哪一種專案管理方法來應對 AI 開發中常見的**高度不確定性**與**需求變動**？,瀑布式（Waterfall Model）,敏捷式（Agile）/ 迭代式（Iterative）,六標準差（Six Sigma）,精實管理（Lean Management）,2,AI 專案的資料、模型與效益都是在開發過程中不斷迭代釐清的，敏捷式專案管理能更好應對這種高不確定性與變動。,
L13Q16,S,在評估 AI 專案的商業價值時，「投資報酬率（ROI）」是最主要的指標。除了 ROI 以外，下列哪一項指標最能衡量 AI 系統為**客戶體驗**帶來的實質改善？,模型的運算資源消耗量,系統的平均回應時間（Latency）與準確度,資料標註團隊的工作效率,模型訓練的時長,2,直接影響客戶體驗的指標包含系統的反應速度（回應時間）和輸出的正確性（準確度），這兩者是客戶對系統最直接的感受。,
L13Q17,S,為了建立一個強健的 AI 治理框架，企業應優先處理下列哪一項工作，以確保 AI 系統在整個生命週期中都能**合法合規**？,聘請大量資料科學家,建立模型效能指標的審核標準,制定資料隱私、倫理與偏見的政策與審查流程,將所有 AI 系統全部開源,3,AI 治理的核心是確保系統符合法規、倫理標準，並管理潛在風險，政策與審查流程是合法合規的基礎。,
L13Q18,S,企業內部推動 AI 轉型時，最常遇到的非技術性挑戰是什麼？,缺乏高速運算硬體,跨部門資料孤島與文化阻力,沒有足夠的開源模型,模型訓練時間太長,2,資料分散在不同部門且缺乏統一標準，加上員工對 AI 的疑慮和不願變革的文化，通常是比技術問題更難解決的障礙。,
L13Q19,S,企業高層在推動 AI 策略時，最不應採取下列哪一種態度？,鼓勵員工探索與試驗新的 AI 技術,建立清晰的 AI 應用藍圖與階段性目標,將 AI 視為單純的 IT 專案，完全交給技術部門處理,強調 AI 專案與企業核心業務目標的連結,3,AI 轉型必須是**全企業**的策略，不能只視為單純的 IT 專案。高層需確保 AI 與業務流程、組織文化、以及公司願景緊密結合。,
L13Q20,S,某企業在 AI 系統上線後發現，雖然整體模型的準確度很高，但在處理特定少數族群的資料時，預測效果卻明顯較差。這最可能是下列哪一種倫理風險？,模型可解釋性（Explainability）不足,數據隱私外洩（Data Leakage）,演算法偏差（Algorithmic Bias）,模型過度擬合（Overfitting）,3,模型對特定群體的表現較差是典型的演算法偏差（Algorithmic Bias），通常源於訓練資料集在該群體上的代表性不足或標註錯誤。,
L13Q21,S,在企業 AI 轉型中，最能有效促進**跨部門合作與知識共享**的作法是什麼？,將所有資料工程師集中在一個獨立部門,建立跨部門的 AI 協作平台與標準化資料共享機制,只允許高層主管參與 AI 專案討論,嚴格限制員工存取資料以確保資料安全,2,建立協作平台與標準化流程能有效打破部門間的資料和知識壁壘，促進合作。,
L13Q22,S,一家銀行導入 AI 系統來審核貸款申請，但由於訓練資料中包含歷史的歧視性偏見，導致新系統持續對特定族群產生偏見性拒絕。這項問題最主要的解方是什麼？,將模型切換為深度學習模型,提高模型訓練的迭代次數,審慎分析訓練數據的偏差並進行公平性干預（Fairness Intervention）,聘請更多資深工程師,3,演算法偏差源於數據，因此必須從數據層面著手，進行偏差分析和公平性干預，以消除歷史歧視的影響。,
L13Q23,S,在 MLOps 流程中，哪一項工具或服務主要負責**將訓練好的模型轉換成可供應用程式呼叫的 API 服務**？,資料版本控制（Data Versioning）,模型監控（Model Monitoring）,模型服務（Model Serving）,特徵商店（Feature Store）,3,模型服務（Model Serving）如 TensorFlow Serving 或 TorchServe 的主要功能，就是將模型打包並部署為可擴展、高可用的 API 服務。,
L13Q24,S,在機器學習模型訓練時，如果資料科學家希望模型能**更好地泛化（Generalize）到未見過的數據**，他們應該特別關注下列哪一項議題？,模型推論速度,模型過度擬合（Overfitting）與欠擬合（Underfitting）的平衡,訓練資料的總大小,模型使用的程式語言,2,泛化能力強表示模型能很好地處理新資料，這需要避免過度擬合（對訓練資料記憶太多）和欠擬合（學得不足）。,
L13Q25,S,企業在設計一個生成式 AI 應用時，面臨模型輸出內容可能**產生有害、歧視或不當資訊（Harmful Content）**的風險。最有效且最直接的緩解方式是什麼？,增加模型的參數數量,使用監督式微調（Supervised Fine-Tuning  SFT）對模型進行安全性對齊（Safety Alignment）,移除所有訓練數據中的敏感詞彙,僅使用較小的模型進行部署,2,安全性對齊（Alignment）是透過 SFT 和 RLHF 等技術訓練模型遵守特定行為準則，以降低產生有害內容的風險。,
