題號,難度,題目,選項 1,選項 2,選項 3,選項 4,正確答案,正確答案解說,錯誤答案解說
Q51,4,在評估 AI 專案的財務效益時，若企業最關心的是「考量金錢時間價值後的長期總價值」，應採用下列哪一項財務指標？,投資報酬率（ROI）,淨現值（NPV）,回收期（Payback Period）,內部報酬率（IRR）,2,淨現值（NPV）會將專案未來數年產生的現金流量折算成**現值**，再減去初期投資，用以評估**長期投資專案**的總價值。,ROI 衡量的是賺錢**效率**，回收期衡量的是**回本速度與風險**。
Q52,4,若企業同時需要「AI 模型能快速更新版本」與「可在 ERP 系統中無縫串接」，下列哪一項是最佳技術策略？,單次模型訓練 + 批次部署,MLOps 流程 + API 部署,傳統 BI 系統 + SQL 查詢,僅用本地伺服器部署,2,MLOps 提供持續整合/持續部署/監控的版本管理流程，能確保模型持續更新。API 部署（如 RESTful API）能將模型服務封裝，實現與 ERP 等企業核心系統的標準化、無縫串接。,單次訓練不支援持續更新。傳統 BI 缺乏模型管理能力。
Q53,4,若某生成式 AI 模型被發現會輸出生理性別歧視內容，這屬於 AI 倫理風險中的哪一類？,資料隱私洩露,模型偏見與公平性風險,系統效率過低,程式碼版本衝突,2,歧視內容的產生源於訓練數據中固有的歷史偏見，使得模型對特定群體做出不公平的判斷，屬於**模型偏見（Bias）** 和**公平性（Fairness）** 風險。,資料隱私 涉及個人資料保護。程式碼版本衝突屬於 MLOps 技術風險。
Q54,4,在電腦視覺中，若需要為影像中的**每個像素點**指定一個類別標籤，最適合使用何種技術？,影像分類（Image Classification）,物件偵測（Object Detection）,語意分割（Semantic Segmentation）,圖像生成（Image Generation）,3,語意分割（Semantic Segmentation）旨在為影像中的每個像素點分配一個類別標籤，從而實現精細的理解，但不區分同類別的不同實體。,影像分類 僅提供單一標籤。物件偵測 是用邊界框標示物體位置。
Q55,4,若企業欲採用 AI 進行新藥開發，快速篩選數十萬種分子結構，以找到最合適的候選物，最主要需考量 AI 導入可行性的哪一項指標？,系統介面美觀度,業務複雜度與資料適配性,硬體採購成本,人力資源招募難度,2,新藥開發涉及高專業性的領域知識（業務複雜度）和大量的非結構化分子數據（資料適配性）。必須確認 AI 模型能處理此類複雜的專業數據，並真正解決業務痛點。,硬體和人力是成本與資源考量，數據與業務適配性是核心可行性。
Q56,4,下列哪一項技術**不**屬於機器學習模型的效能優化與壓縮方法？,模型剪枝（Pruning）,知識蒸餾（Knowledge Distillation）,模型量化（Quantization）,資料標註（Data Labeling）,4,資料標註 是在模型訓練前的數據準備階段工作，用於提供監督式學習的標籤。,剪枝、量化 和 知識蒸餾 都是在訓練後或訓練中用於優化模型大小和推理速度的方法。
Q57,4,在 AI 導入規劃的技術可行性評估中，需要確認企業是否擁有足夠的 IT 基礎設施（如伺服器、網路）來支撐 AI 模型的訓練與部署，這項評估主要關注哪一項？,業務流程再造（BPR）,數據適配性（Data Suitability）,AI 基建與資源（Infrastructure）,組織架構調整（Organizational Alignment）,3,AI 基建與資源 評估企業是否具備必要的硬體、雲端服務、資料庫系統和網路頻寬，是確保 AI 模型能順利運行和部署的物質基礎。,數據適配性 關注資料本身品質與數量。
Q58,4,在非監督式學習中，主成分分析（PCA）與 K-means 演算法的主要用途分別是？,分類與迴歸,降維與分群,預測與解釋,分類與降維,2,PCA 是一種常見的非監督式**降維**技術。K-means 是一種非監督式**分群（Clustering）** 技術。,分類與迴歸 屬於監督式學習。
Q59,4,在 AI 風險評估中，若模型在訓練階段表現良好，但在部署後準確率持續下降，這最可能是哪一種風險？,模型漂移（Model Drift）,資料隱私洩露,程式碼版本衝突,硬體設備故障,1,模型漂移（Model Drift）是指 AI 模型在實際生產環境中，因真實世界數據分佈的變化（資料漂移）而導致效能逐漸下降。這是一個典型的 MLOps 監控重點。,選項 2 和 3 不會導致準確率持續下降。
Q60,4,在自然語言處理（NLP）中，若希望模型能理解「蘋果」這個詞彙在「吃蘋果」和「蘋果電腦」這兩個語境下的不同意義，最適合使用下列何種模型架構？,詞袋模型（Bag-of-Words）,TF-IDF,上下文相關（Contextualized）詞嵌入模型,N-gram 模型,3,"上下文相關詞嵌入模型（如 BERT, GPT, Word2Vec）能夠根據詞彙在句子中的實際語境，賦予其不同的向量表示，從而捕捉其多義性。BERT 尤擅長雙向上下文理解。",詞袋模型、TF-IDF 和 N-gram 均無法捕捉詞彙的上下文語意。
