題號,難度,題目,選項 1,選項 2,選項 3,選項 4,正確答案,正確答案解說,錯誤答案解說
Q101,7,根據歐盟《一般資料保護規則（GDPR）》，資料主體擁有「反對自動化決策權（Right to Object to Automated Decision Making）」。這項權利的核心內涵是？,資料主體有權將其個人資料轉移至其他服務提供者。,資料主體有權要求企業刪除其個人資料。,資料主體有權反對企業在**沒有人工介入**的情況下進行的重大自動化決策。,資料主體有權隨時要求企業暫停處理其資料。,3,根據 GDPR 第 22 條，資料主體有權利反對企業在沒有人工介入（No human intervention）的情況下進行的重大自動化決策，如信用評分或招聘決策。,選項 1 是資料可攜權，選項 2 是被遺忘權，選項 4 是處理限制權。
Q102,7,若台灣製造商同時需要「符合歐盟 AI Act 的高風險系統規範」與「滿足 CBAM（碳邊境調整機制）的碳排放追蹤要求」，最合適的策略是：,建立 AI 模型壓縮方案,建立 AI 治理框架 + 碳足跡數據平台,僅導入純雲端運算,僅使用 ESG 手冊報告,2,AI Act 高風險系統要求**治理框架**和**可追溯性**（MLOps）。CBAM 要求精確的**碳排放追蹤**，這可透過電腦視覺或 IoT 數據監測實現。綜合策略是：技術（CV/MLOps）+ 制度（AI 治理）。,選項 1、3、4 不符合多重法規遵循的要求。
Q103,7,為了在 AI 模型開發中偵測和降低對特定群體（如性別、種族）的隱含偏見，下列哪一項技術或工具最為常用？,淨現值（NPV）分析,語音辨識（ASR）,**WEAT（詞嵌入關聯測試）**,梯度提升樹（Gradient Boosting）,3,WEAT（Word Embedding Association Test）是目前學術界和業界常用於偵測詞嵌入中隱含偏見（如性別、種族刻板印象）的工具，能從數據源頭上緩解偏見。,選項 1 屬於財務評估。選項 4 屬於模型演算法。
Q104,7,在 MLOps 流程中，為確保 AI 系統具備**問責性（Accountability）** 並符合高風險應用的審核要求，下列哪一項機制最為關鍵？,模型的參數剪枝（Pruning）,持續進行模型監控與**日誌追蹤審計（Audit Trail）**,僅使用開源數據集,轉向非監督式學習模型,2,問責性 要求所有決策過程都必須可被追溯、解釋和審核。持續的**日誌追蹤審計（Audit Trail）** 能完整記錄模型輸入、輸出、使用者操作及決策邏輯，是符合高風險審核的關鍵。,選項 1 是模型優化技術。選項 3、4 無助於問責性。
Q105,7,根據歐盟《一般資料保護規則（GDPR）》，「資料可攜權（Data Portability）」主要賦予資料主體哪一項權利？,在符合條件下請求刪除其個人資料,了解企業如何處理其個人資料,要求企業以結構化、通用且可機器讀取的格式提供其個人資料，並可轉移至其他服務提供者,要求在資料正確性存疑時暫停處理其資料,3,根據 GDPR 第 20 條，資料可攜權 允許資料主體要求企業以**結構化、通用且可讀取的格式**，將其個資轉移給自己或其他服務提供者。,選項 1 是被遺忘權。選項 4 是處理限制權。
Q106,7,為有效防範大型語言模型（LLM）因記憶錯誤或訓練資料不足導致的**模型幻覺（Model Hallucination）**，最有效的技術方案是？,僅使用單向的 Transformer 架構,進行**檢索增強生成（RAG）**,移除所有停用詞（Stop Words）,大規模增加模型參數量,2,模型幻覺 的根本原因是 LLM 只能依靠其內部參數（記憶）來生成內容。**檢索增強生成（RAG）** 透過**外部知識庫**（如企業文件庫）檢索準確資訊，並以此為依據來生成答案，能大幅提升準確性與事實依據，緩解幻覺。,選項 4 會增加訓練成本，但不保證能完全消除幻覺。
Q107,7,在 AI 倫理治理中，要求企業建立清晰的 AI 治理責任體系，並為 AI 模型的設計、開發、部署及運營過程確立明確責任人的原則，稱作？,透明性（Transparency）,公平性（Fairness）,可解釋性（Explainability）,**問責性（Accountability）**,4,問責性（Accountability） 是責任 AI 的重要原則，要求企業能證明 AI 系統的決策符合倫理與法律規範，並能追溯到具體的負責人與流程，是所有治理的制度基礎。,選項 1、2、3 屬於具體的倫理目標。
Q108,7,在 AI 模型部署後，下列哪一項現象最常導致模型效能下降並觸發 MLOps 再訓練流程？,GPU 記憶體使用率過高,訓練資料集的標籤錯誤,**資料漂移（Data Drift）** 或**概念漂移（Concept Drift）**,使用者介面（UI）設計不佳,3,資料漂移或概念漂移 是指生產環境中的真實數據分佈（或數據與標籤的關係）發生變化，導致模型已學會的模式不再適用，是 MLOps 流程中模型需要再訓練的最主要原因。,選項 1、4 屬於 IT 運維或使用者體驗問題。
Q109,7,為有效防範大型語言模型（LLM）應用程式中的「提示攻擊（Prompt Injection）」風險，最直接且有效的技術措施是：,僅使用開源模型進行部署,在模型輸入與輸出端加入**清洗與過濾機制（Guardrails）**,限制 LLM 只能處理 100 個字以內的文本,完全移除模型的可解釋性功能,2,提示攻擊 是透過惡意指令（Prompt）來操縱 LLM 執行非預期的行為。在**輸入與輸出端加入清洗與過濾機制（Guardrails）**，如檢查惡意關鍵字或限制其調用外部功能，是防止攻擊的最直接方法。,選項 3、4 無助於防範惡意指令。
Q110,7,企業在 AI 導入前進行風險評估時，若使用**風險矩陣（Risk Matrix）**，應優先處理哪一類風險？,發生機率高，影響程度輕微,發生機率低，影響程度重大,**發生機率高，影響程度重大**,發生機率低，影響程度輕微,3,風險矩陣將風險分為「機率」和「影響」兩個維度。應優先處理（即投入最多資源緩解）的是**機率高且影響重大**的風險，因為它們對業務的威脅最大。,影響程度重大但機率低通常次之。
Q111,8,若工廠 AI 模型需同時「降低部署成本」與「保持準確度不下降」，最佳技術組合是：,**剪枝（Pruning） + 知識蒸餾（Knowledge Distillation）**,僅使用更大模型,移除所有非關鍵特徵,區塊鏈數據存證,1,**剪枝**（移除不重要的權重或神經元）和**知識蒸餾**（讓小模型學習大模型的輸出）都是常用的**模型壓縮**技術。特別是知識蒸餾能讓模型體積縮小的同時，盡可能保持高準確度。,選項 2 增加成本。選項 4 與模型部署無關。
Q112,8,語言模型 BERT 和 GPT 之間最根本的差異在於其**上下文處理機制**，下列敘述何者正確？,BERT 採用單向解碼器，擅長生成；GPT 採用雙向編碼器，擅長理解。,**BERT 採用雙向編碼器，擅長理解上下文；GPT 採用單向解碼器，擅長生成文本。**,兩者都採用單向處理，但 BERT 運算速度較快。,BERT 是基於 RNN；GPT 是基於 Transformer。,2,BERT（Bidirectional Encoder Representations from Transformers）使用雙向編碼器，能同時看見目標詞前後的上下文，擅長理解。GPT（Generative Pre-trained Transformer）使用單向解碼器，從左到右生成文本，擅長內容生成。,選項 4 兩者均基於 Transformer。
Q113,8,"檢索增強生成（Retrieval-Augmented Generation, RAG）技術在 LLM 應用中的核心作用是什麼？",訓練一個全新的超大型語言模型,透過**外部知識檢索**來提升生成內容的**準確性與事實依據**,將模型參數從浮點數轉換為低位元格式,移除訓練資料中的潛在偏見,2,RAG 讓 LLM 在生成答案前，先從專屬的**外部知識庫**中檢索相關資料，再將這些資料作為上下文輸入給 LLM 進行生成。這能有效解決模型幻覺，並讓 LLM 具備即時、領域專屬的知識。,選項 3 是模型量化。
Q114,8,若專案要求「AI 系統須支援即時決策」與「降低雲端網路延遲風險」，最合適的部署方案是：,公有雲部署 + 巨量批次處理,**邊緣運算 + 輕量化模型**,強化學習 + 區塊鏈存證,本地資料庫查詢 + 人工審核,2,邊緣運算（Edge Computing）將運算推向接近數據源的設備端，能最小化網路延遲，實現**即時決策**。同時部署**輕量化模型**則能讓運算在資源受限的邊緣設備上高效執行。,選項 1 的批次處理不支援即時決策。
Q115,8,Transformer 架構在自然語言處理（NLP）領域中，最核心的技術創新是？,遞迴神經網路（RNN）,**自注意力機制（Self-Attention）**,卷積層（Convolutional Layer）,全連接層（Fully Connected Layer）,2,Transformer 的核心是**自注意力機制**（Self-Attention Mechanism），它允許模型在處理序列數據時，能同時考慮序列中所有元素之間的關係，捕捉長距離依賴性，並取代了 RNN 和 CNN 成為主流架構。,選項 1、3、4 是其他神經網路的元件。
Q116,8,在微調大型語言模型（LLM）的策略中，低秩自適應（LoRA）技術的主要優勢是？,需要重新訓練 LLM 的所有參數，以達到最高準確率,**通過訓練少量新增的低秩矩陣，大幅減少運算資源和儲存空間**,僅適用於影像生成任務,是一種完全不需要任何訓練的零樣本（Zero-shot）方法,2,LoRA（Low-Rank Adaptation）是一種參數高效的微調技術（PEFT）。它凍結了 LLM 的原始權重，只訓練極少數新增的低秩矩陣。這能大幅**減少訓練所需的 GPU 記憶體和時間**，並使模型權重檔案極小。,選項 1 描述的是傳統全參數微調。
Q117,8,鑑別式 AI（Discriminative AI）與 生成式 AI（Generative AI）之間最核心的差異在於其**目標**，下列敘述何者正確？,**鑑別式 AI 的目標是分類、辨識或預測；生成式 AI 的目標是創造新內容。**,鑑別式 AI 運算速度較慢；生成式 AI 運算速度較快。,兩者都是透過對抗訓練來學習資料分佈。,鑑別式 AI 只能處理結構化數據。,1,"鑑別式 AI（如分類器）學習如何區分（鑑別）數據，用於預測。生成式 AI（如 GAN, VAE, LLM）學習數據的分佈模式，用於創造（生成）新的、類似於訓練數據的內容。",選項 3 描述的是 GAN 的機制。
