題號,難度,題目,選項 1,選項 2,選項 3,選項 4,正確答案,正確答案解說,錯誤答案解說
L3Q101,7–10（專家級）,在深度學習中，下列哪一種優化器（Optimizer）結合了動量（Momentum）和自適應學習率（Adaptive Learning Rate）的優點，被廣泛視為最穩健的「萬用優化器」？,Adagrad,RMSprop,Adam,隨機梯度下降（SGD）,3,Adam（Adaptive Moment Estimation）結合了 Momentum（追蹤一階動量）與 RMSprop（追蹤二階動量），能夠自動調整每個參數的學習率，因此收斂快速且穩定，是目前最常用的深度學習優化器。,Adagrad 的缺點是學習率會隨時間過度衰減，可能導致收斂停止；SGD 則缺乏自適應能力和慣性。
L3Q102,7–10（專家級）,在機器學習的模型評估與監控中，若發現輸入特徵 $X$ 的分佈發生了變化（例如：客戶年齡平均值改變），但輸入 $X$ 與輸出 $Y$ 之間的決策關係 $P(Y|X)$ 尚未改變，此現象稱為什麼？,特徵漂移（Feature Drift）,概念漂移（Concept Drift）,資料洩漏（Data Leakage）,維度詛咒（Curse of Dimensionality）,1,特徵漂移（Feature Drift）是指輸入數據 $X$ 的統計特性發生了變化，例如平均值或標準差改變。只有當 $P(Y|X)$ 關係也改變時，才稱為概念漂移。,概念漂移指的是 $X$ 與 $Y$ 之間的關係 $P(Y|X)$ 改變（例如標籤定義改變）；資料洩漏是訓練時使用了不應得的資訊。
L3Q103,7–10（專家級）,L1 正則化（Lasso）和 L2 正則化（Ridge）在防止過擬合的機制上，最核心的差異是什麼？,L2 適用於深度學習，L1 適用於線性模型,L1 會使不重要特徵的權重為零，L2 僅縮小權重但不歸零,L1 旨在降低模型偏差，L2 旨在降低模型變異,L2 可解決梯度消失，L1 可解決梯度爆炸,2,L1 正則化（Lasso）由於懲罰權重的絕對值，會傾向於將不重要特徵的係數壓縮至零，從而實現特徵篩選（稀疏性）；L2 正則化（Ridge）則懲罰權重的平方，僅將所有權重縮小，但通常不會歸零。,L1 正則化用於特徵選擇，而 L2 正則化用於權重縮減，兩者都用於限制模型複雜度，以降低過度擬合（變異）的風險。
L3Q104,7–10（專家級）,某迴歸模型在測試集上的 $R^2$ 決定係數計算結果為 -0.2。這代表什麼意義？,模型表現完美，解釋了 20% 的變異,模型達到過度擬合（Overfitting）狀態,模型的預測效果比只用平均值進行預測還要差,模型的訓練速度比預期慢 20%,3,$R^2$ 的理想範圍介於 0 到 1 之間，數值越接近 1 表示模型解釋力越好。當 $R^2 < 0$ 時，表示模型的預測誤差比直接使用目標變數的平均值作為預測基準的誤差更大，意味著模型沒有意義。,$R^2$ 為 1 才是完美擬合；$R^2$ 為負值通常表示模型選擇錯誤或擬合效果極差。
L3Q105,7–10（專家級）,關於神經網路中的激活函數 ReLU（Rectified Linear Unit），下列敘述何者正確？,ReLU 函數能將輸出壓縮到 $[0\infty)$ 之間,ReLU 函數在訓練時不會產生梯度消失或爆炸問題,ReLU 函數在輸入為正數時導數恆為 1，有助於減緩梯度消失現象,ReLU 函數通常用於多類別分類任務的輸出層,3,"ReLU 函數的數學定義為 $max(0, x)$。當輸入 $x>0$ 時，其導數恆為 1，確保梯度能有效傳播，從而減緩 Sigmoid 或 Tanh 激活函數容易導致的梯度消失問題。","ReLU 的輸出範圍是 $[0, \infty)$。雖然 ReLU 減緩梯度消失，但它仍然可能在反向傳播時導致梯度爆炸，因此通常會搭配梯度裁剪等技術處理。"
L3Q106,7–10（專家級）,某公司在訓練一個深度學習分類器時，決定在隱藏層中使用 Dropout 技術。此技術在訓練階段的運作機制是什麼？,在損失函數中增加權重的 L2 範數懲罰項,在每次迭代中，隨機將部分神經元的輸出設置為零,在訓練過程中根據驗證集性能提前終止訓練,標準化每一層神經元的輸入分佈,2,Dropout 是一種正則化技術，它在訓練階段會隨機將隱藏層中的部分神經元暫時關閉（輸出設為零），以減少神經元之間的相互依賴，從而增強模型的泛化能力，防止過擬合。,增加 L2 範數懲罰項是 L2 正則化；根據驗證集提前終止訓練是 早停法（Early Stopping）；標準化每一層輸入是 批次正規化（Batch Normalization）。
L3Q107,7–10（專家級）,在優化器中，若採用 Momentum 技術，其核心目的是什麼？,確保學習率不會隨著時間衰減,為每個參數提供不同的學習率,引入慣性，加速梯度下降，並在平坦區間或局部極小值處穿透,限制梯度最大值，防止梯度爆炸,3,Momentum（動量）透過追蹤歷史梯度方向，為參數更新提供慣性。這有助於加速收斂，減少梯度在狹長曲面上的震盪，並幫助優化器逃離局部極小值或穿過鞍點。,為每個參數提供不同學習率是 Adagrad、RMSprop、Adam 的特點；梯度裁剪用於防止梯度爆炸。
L3Q108,7–10（專家級）,在訓練大型深度學習模型時，工程師選擇了 混合精度訓練（Mixed Precision Training）。其主要優點為何？,確保模型在訓練時不會發生梯度消失,利用低精度（如 FP16）計算加速訓練速度並減少記憶體佔用,確保訓練集和測試集的分佈一致,提高模型的最終準確率，但增加訓練成本,2,混合精度訓練（Mixed Precision Training）透過在訓練中同時使用不同數值精度（如 FP16 和 FP32），可以顯著加速運算過程，並減少記憶體佔用，允許使用更大的批次大小或更深的網路。,混合精度訓練不直接解決梯度消失，且其目標是減少訓練成本（時間和記憶體），而非增加。
L3Q109,7–10（專家級）,某公司希望在不損失太多準確度的情況下，將一個大型的深度學習模型（教師模型）轉換為一個體積更小、推論速度更快的輕量級模型（學生模型）。應採用下列哪一種技術？,批次正規化（Batch Normalization）,知識蒸餾（Knowledge Distillation）,梯度裁剪（Gradient Clipping）,特徵標準化（Feature Standardization）,2,知識蒸餾（Knowledge Distillation）是一種模型壓縮技術，將大型教師模型所學的「知識」（軟標籤 Soft Labels）轉移給小型學生模型，使小型模型在參數較少的情況下仍能保持高準確度。,批次正規化和梯度裁剪用於訓練穩定性；特徵標準化用於數據預處理；雖然參數剪枝也可壓縮模型，但知識蒸餾更強調知識轉移和準確度保留。
L3Q110,7–10（專家級）,關於支援向量機（SVM）中的核函數（Kernel Function），其主要功能是什麼？,幫助模型避免過度擬合,將所有特徵的權重縮減為零,確保模型訓練速度保持恆定,將原始特徵空間映射到更高維度，處理非線性分類邊界,4,核函數使 SVM 能夠隱式地在高維空間中操作，從而處理原始空間中的非線性邊界。常用的核函數包括線性核、多項式核和 RBF 核。,核函數主要用於處理非線性關係，與正則化或訓練速度無直接關係。
