題號,難度,題目,選項 1,選項 2,選項 3,選項 4,正確答案,正確答案解說,錯誤答案解說
L3QA001,S,機率密度函數（Probability Density Function，PDF） 的意義是？,某個確切值的機率,區間內機率的累加,每個點的機率密度,每個點的累積機率,3,PDF 本身不是機率，而是描述在某點的「機率密度大小」。,
L3QA002,S,資料 x=48，平均 μ=50，標準差 σ=4，其 Z-score 為？,-0.5,-1,0.5,1,1,Z-score 是 標準分數（Standard Score），公式為：  表示資料點低於平均 0.5 個標準差。,
L3QA003,S,交叉熵損失最小時，代表？,模型預測非常接近真實值,預測為錯誤類別但機率低,模型完全不預測,預測機率隨機,1,交叉熵（Cross Entropy）是衡量預測機率與實際類別差距的損失函數，在二分類中為：,
L3QA004,S,若 Var(X)=16，則 Var(X+10) 為？,0,16,26,無法判斷,2,變異數（Variance）只受「尺度」影響，不受「平移」影響。     加上常數不會改變資料的變動程度。,
L3QA005,S,ROC 曲線的目的是？,顯示分類準確率,呈現混淆矩陣細節,描述 TPR 與 FPR 的變化,呈現 AUC 面積,3,"ROC 是 接收者操作特徵曲線（Receiver Operating Characteristic curve） 的縮寫，用來畫出： X 軸：假陽性率（FPR, False Positive Rate） Y 軸：真正率（TPR, True Positive Rate） 可用來評估分類閾值調整後模型性能的變化。",
L3QA006,S,某病患進行檢測，盛行率 5%，靈敏度 98%，特異度 90%。病人檢測陽性，最合理的推論是？,幾乎確定有病,有病機率接近 35%,結果不能用,應直接治療,2,使用 貝式定理（Bayes’ Theorem） 計算後驗機率： 靈敏度高但偽陽性仍存在 在低盛行率下，陽性結果中有相當多「偽陽性」 → 後驗機率僅約 35%   ?? 問題：檢測陽性後，實際患病的機率是多少？ ?? 這是典型的 後驗機率（Posterior Probability），用貝氏定理（Bayes’ Theorem）來算：  ?? 貝氏定理公式：              ?? 第一步：計算分母 P(+)  ?? 第二步：代入公式求後驗機率            ? 結論：後驗機率約為 34% 即使檢測靈敏度高達 98%，由於該疾病的盛行率僅 5%，又有 10% 的健康人會測出陽性，因此在陽性的人群中仍有大量「偽陽性」，使得實際患病機率只有約 34%。  ?? 關鍵觀念：,
L3QA007,S,某公司想了解全體員工滿意度，從 1000 位中抽樣 50 人。這 50 人稱為？,母體,分佈,樣本,誤差範圍,3,樣本（Sample）是從母體（Population）中抽取，用來做統計推論的資料集合。這 50 人就是樣本。,
L3QA008,S,某模型預測 spam 郵件機率為 0.99，但實際為非 spam，損失為？,非常小,中等,非常大,零,3,模型「信心很高卻預測錯誤」，是 交叉熵（Cross Entropy） 中懲罰最重的情況：,
L3QA009,S,若特徵數高達 200 維，且存在共線性問題，應使用哪種方法？,One-hot encoding,決策樹,PCA,正規化,3,PCA（主成分分析，Principal Component Analysis）可用來： 降低維度 去除冗餘與共線性 加快模型訓練速度,
L3QA010,S,在患病率僅 1% 的資料中，分類模型準確率為 99%，應補充哪個指標來真實反映效能？,Accuracy,Recall,Confusion Matrix,AUC,4,準確率（Accuracy）在類別不平衡資料中容易誤導。 此時使用： AUC（曲線下面積，Area Under the Curve）來評估模型整體區分能力，不受閾值與類別比例影響。,
L3QA011,S,"資料共變異矩陣的特徵值為 [5.6,1.8,0.6]。若希望保留約 90% 的資料變異量，最少需要保留幾個主成分？",1,2,3,無法確定,2,,
L3QA012,S,在使用線性回歸模型時，發現兩個特徵向量幾乎完全線性相關，會造成什麼問題？,特徵維度不夠,權重收斂變快,梯度為零無法更新,模型不穩定或多解,4,,
L3QA013,S,在推薦系統中使用奇異值分解（SVD）來壓縮使用者-商品矩陣，主要是為了？,提升原始資料精度,建立分類模型,去除資料冗餘、降低維度,增加特徵數量提升擬合度,3,SVD 可將高維資料以重要成分表示，有效降維並濾除雜訊。,
L3QA014,S,線性回歸中使用最小平方法的幾何意義為何？,找到與所有資料點垂直的向量,將輸出向量投影到資料矩陣張成的空間,對所有參數加總,調整輸入資料使得損失最小,2,最小平方解是將 y 投影到 X$的列空間，使 Xw 與 y 誤差最小。,
L3QA015,S,在線性回歸中使用正規方程式求解，哪個條件必須成立？,X 為奇異矩陣,可逆,y 為 0 向量,所有特徵都需正規化,2,正規方程式要求  為可逆矩陣，否則無法解出封閉形式。,
L3QA016,S,兩個單位向量內積為 0.5，則兩者夾角為？,30°??,45°?,60°?,90°,3,單位向量內積公式： 若內積為 0.5，則,
